UID,PID,PTM,PEN,DESC,CAT,PEY,ACT
913,528331,PHI,TH-1500,Offensive Holding,2,10,A
914,528334,NYG,MK-0900,Neutral Zone,4,5,A
915,528335,PHI,TH-1500,Offensive Holding,2,0,D
916,528339,PHI,DR-2800,Illegal Contact,5,5,A
917,528357,NYG,SL-0800,Offensive Holding,2,10,A
918,528360,PHI,JB-0100,Illegal Use of Hands,5,5,A
919,528376,NYG,OU-0100,Defensive Offside,4,5,A
920,528387,NYG,SP-0800,Offensive Holding,2,10,A
921,528402,NYG,JP-2900,Neutral Zone,4,5,A
922,528470,PHI,DR-2800,Defensive Pass Interference,5,21,A
923,528473,PHI,NA-0200,Defensive Pass Interference,5,8,A
924,528475,NYG,RB-0800,Offensive Pass Interference,2,10,A
925,528505,CHI,GH-0700,Illegal Block Above the Waist,7,10,A
926,528526,CHI,MS-3400,False Start,1,5,A
927,528527,DAL,BC-0500,Illegal Contact,5,5,A
928,528567,CHI,BM-0300,False Start,1,5,A
929,528601,DAL,DB-5300,Illegal Shift,3,5,A
930,528615,CHI,KB-0800,False Start,1,5,A
931,528634,ARI,PP-0400,Defensive Pass Interference,5,0,D
932,528650,STL,CL-1400,Defensive Offside,4,5,A
933,528700,STL,MB-3650,Neutral Zone,4,5,A
934,528706,ARI,AS-1800,Defensive Offside,4,5,A
935,528707,ARI,JB-3350,Neutral Zone,4,5,A
936,528711,STL,KL-0200,Roughing the Passer,6,15,A
937,528725,STL,BR-0300,False Start,1,5,A
938,528726,STL,BR-0300,Offensive Holding,2,0,O
939,528726,ARI,GT-0300,Illegal Contact,5,0,O
940,528743,STL,JC-5700,Unnecessary Roughness,6,15,A
941,528751,ARI,BM-0360,Offensive Holding,2,0,D
942,528762,STL,HD-0100,Illegal Use of Hands,2,10,A
943,528769,ARI,AR-1100,Illegal Touch Pass,3,5,A
944,528770,ARI,DB-1100,Offensive Holding,2,10,A
945,528777,ARI,MF-0950,Offensive Pass Interference,2,10,A
946,528784,STL,JJ-1550,Defensive Holding,5,5,A
947,528807,CIN,AS-2000,False Start,1,5,A
948,528823,MIA,SS-1700,Defensive Holding,5,5,A
949,528844,CIN,JG-3700,Offensive Holding,2,10,A
950,528881,MIA,XX-0000,Illegal Formation,3,5,A
951,528892,CIN,RM-1600,Illegal Contact,5,0,D
952,528894,MIA,JL-0260,Illegal Shift,3,0,D
953,528935,CIN,DS-2200,Defensive Holding,5,5,A
954,528949,CIN,TN-0400,Defensive Pass Interference,5,16,A
955,528956,CIN,JF-0200,Offensive Holding,2,10,A
956,528981,KC,EJ-1000,Offensive Holding,2,10,A
957,528987,BAL,AB-2000,Illegal Block Above the Waist,7,10,A
958,528999,KC,BA-0200,False Start,1,5,A
959,529000,BAL,JS-4300,Defensive Holding,5,0,D
960,529006,KC,SR-1300,Defensive Holding,5,5,A
961,529009,BAL,KO-0750,False Start,1,5,A
962,529021,KC,SM-0400,False Start,1,5,A
963,529042,KC,MC-0700,Delay of Game,3,5,A
964,529044,KC,XX-0000,Illegal Touch Kick,3,0,D
965,529051,BAL,CW-2300,Defensive Pass Interference,5,12,A
966,529055,BAL,KO-0750,False Start,1,5,A
967,529071,KC,SR-1300,Defensive Holding,5,0,D
968,529085,KC,DB-3200,Offensive Pass Interference,2,10,A
969,529087,BAL,DT-1250,Offensive Holding,2,1,A
970,529091,KC,CG-2500,Offensive Holding,2,10,A
971,529101,KC,DM-1200,Offensive Pass Interference,2,10,A
972,529128,GB,CM-0900,Defensive Offside,4,0,O
973,529128,IND,AC-1200,Illegal Use of Hands,2,0,O
974,529132,GB,CM-0900,Defensive Offside,4,5,A
975,529133,IND,WJ-0700,False Start,1,5,A
976,529137,IND,DA-2100,Illegal Shift,3,0,D
977,529142,IND,DN-0600,Defensive Offside,4,5,A
978,529142,IND,DN-0600,12 On-field,3,0,D
979,529155,IND,CR-0500,Unnecessary Roughness,6,15,A
980,529155,IND,JH-3650,Illegal Use of Hands,5,0,D
981,529159,IND,XX-0000,Unsportsmanlike Conduct,6,15,A
982,529161,IND,WJ-0700,False Start,1,5,A
983,529164,GB,NP-0130,Unnecessary Roughness,6,15,A
984,529176,GB,CW-3700,Defensive Pass Interference,5,0,D
985,529182,IND,CV-0200,Defensive Pass Interference,5,30,A
986,529185,GB,JF-1600,Illegal Motion,3,4,A
987,529206,GB,CW-3700,Defensive Holding,5,5,A
988,529213,GB,TC-2900,Offensive Holding,2,10,A
989,529226,GB,AR-1300,Illegal Forward Pass,3,5,A
990,529235,GB,JM-3750,Defensive Offside,4,0,D
991,529239,IND,AB-1500,Horse Collar,7,15,A
992,529246,GB,JW-6530,Encroachment,4,5,A
