TID,GID,TNAME,PTS,1QP,2QP,3QP,4QP,RFD,PFD,IFD,RY,RA,PY,PA,PC,SK,INT,FUM,PU,GPY,PR,PRY,KR,KRY,IR,IRY,PEN,TOP,TD,TDR,TDP,TDT,FGM,FGAT,FGY,RZA,RZC,BRY,BPY,SRP,S1RP,S2RP,S3RP,SPP,S1PP,S2PP,S3PP,LEA,LEY,LTA,LTY,LGA,LGY,MDA,MDY,RGA,RGY,RTA,RTY,REA,REY,R1A,R1Y,R2A,R2Y,R3A,R3Y,QBA,QBY,SLA,SLY,SMA,SMY,SRA,SRY,DLA,DLY,DMA,DMY,DRA,DRY,WR1A,WR1Y,WR3A,WR3Y,TEA,TEY,RBA,RBY,SGA,SGY,P1A,P1Y,P2A,P2Y,P3A,P3Y,SPC,MPC,LPC,Q1RA,Q1RY,Q1PA,Q1PY,LCRA,LCRY,LCPA,LCPY,RZRA,RZRY,RZPA,RZPY,SKY,LBS,DBS,SFPY,DRV,NPY,TB,I20,RTD,LNR,LNP,LBR,LBP,DBR,DBP,NHA,S3A,S3C,L3A,L3C,STF,DP,FSP,OHP,PBEP,DLP,DSP,DMP,PFN
180,3278,HOU,24,0,10,7,7,6,16,1,90,28,231,38,22,3,3,0,4,206,1,19,3,65,0,0,69,32,3,2,0,0,1,1,51,2,2,27,27,9,3,4,2,17,7,7,3,2,8,4,1,4,9,6,23,0,0,10,43,2,4,14,32,11,26,3,30,1,-2,11,124,13,91,9,40,2,0,1,0,2,0,12,75,10,52,10,71,6,57,28,145,18,103,14,83,9,45,4,12,6,6,15,8,19,0,0,0,0,4,5,5,12,24,1,0,224,12,183,0,0,0,6.5,1,12.5,4.5,7,16.5,0,1,1,9,2,5,0,2,0,0,2,2,2,0
181,3279,DEN,35,0,0,14,21,3,13,2,60,19,309,30,24,0,1,2,5,223,2,12,4,68,4,61,81,26.5,5,0,3,2,0,0,0,1,1,0,161,9,6,3,0,19,10,7,2,2,9,5,6,0,0,8,28,1,8,3,8,0,0,13,42,4,13,2,4,0,0,15,115,1,0,8,45,1,25,1,19,4,105,2,37,14,146,9,84,5,42,34,254,11,100,13,144,6,65,5,13,6,4,2,4,17,4,27,4,36,1,2,2,14,0,0,0,294,11,209,0,2,0,4.5,0,11,5,3.5,16,0,1,0,6,1,6,14,1,4,1,1,2,1,0
182,3279,SD,24,10,14,0,0,4,16,3,90,27,218,41,25,4,4,2,4,180,4,14,5,126,1,80,64,33.5,3,0,2,1,1,1,32,3,2,23,48,12,9,2,1,20,10,5,5,4,9,1,3,1,0,14,55,1,1,3,14,3,8,19,77,7,12,1,1,0,0,14,87,6,34,13,78,0,0,5,25,2,23,12,90,7,22,13,93,9,42,41,167,14,102,16,63,15,58,5,17,3,8,14,11,87,5,20,12,54,2,8,4,26,24,1,0,409,13,168,0,3,0,10,1.5,12,4.5,5,17,0,2,1,9,2,5,7,3,2,0,4,0,1,0
183,3280,SEA,6,3,3,0,0,6,5,2,137,28,115,23,9,2,1,0,4,194,2,5,0,0,1,4,20,28,0,0,0,0,2,3,87,1,0,44,63,16,10,5,1,7,3,1,3,5,27,4,5,3,12,4,27,2,14,6,32,4,20,16,85,9,46,3,6,2,11,3,52,0,0,10,18,0,0,2,16,7,36,7,32,8,65,4,0,4,25,19,92,6,28,8,1,11,86,2,4,3,5,17,5,32,5,17,8,12,0,0,1,0,7,2,0,154,10,124,0,1,0,9,0,13.5,1,5.5,8,0,2,1,4,0,6,0,1,1,0,1,0,1,1
184,3280,SF,13,3,0,7,3,8,9,1,177,30,138,23,14,2,1,0,5,228,3,70,2,41,1,1,40,32,1,0,1,0,2,2,66,4,1,106,0,13,7,6,0,10,5,2,3,6,12,4,44,5,28,8,57,4,23,1,2,2,12,16,79,12,93,2,6,4,13,9,49,6,43,6,48,1,0,0,0,1,0,6,31,8,32,1,12,8,65,16,33,10,63,6,34,9,41,3,8,3,8,54,10,44,12,87,2,3,6,11,4,10,2,0,0,343,10,223,0,4,0,5.5,1,18,5,6.5,7,0,0,0,9,2,5,0,1,0,1,1,0,2,1
185,3281,TEN,35,14,7,7,7,7,12,2,198,26,193,33,22,2,0,0,3,124,0,0,5,116,1,0,25,29.5,5,4,1,0,0,0,0,4,4,151,29,14,7,5,2,15,2,5,8,0,0,4,16,3,45,12,76,5,15,1,1,1,3,15,82,9,46,2,28,0,0,8,56,13,130,9,19,0,0,2,0,1,0,14,73,7,57,7,54,5,21,23,170,8,5,13,73,14,115,9,7,6,7,65,7,60,6,34,14,55,9,35,6,22,12,0,0,388,10,104,1,2,0,6,0,10.5,9.5,5.5,11.5,4,3,3,10,5,6,0,0,0,1,1,0,1,0
186,3281,BUF,34,14,6,14,0,6,14,2,166,24,216,35,27,1,1,1,1,22,0,0,4,184,0,0,65,30.5,4,0,3,0,2,2,73,3,2,90,67,16,9,7,0,19,7,5,7,0,0,2,13,2,22,13,89,3,13,3,22,1,7,12,83,11,73,1,10,2,23,8,53,10,53,12,53,1,0,3,46,1,20,13,124,1,5,4,15,17,81,43,272,15,68,9,41,12,107,7,15,5,6,45,7,48,4,22,8,9,2,-2,3,23,9,0,0,220,9,22,0,0,1,5.5,1,6,6.5,12.5,16.5,2,5,3,5,1,3,0,3,1,0,0,2,2,0
187,3282,NO,35,7,21,0,7,5,17,1,81,26,377,36,27,0,1,0,4,205,1,15,0,0,0,0,55,26,5,1,4,0,0,0,0,3,3,22,173,13,10,2,1,25,10,7,8,2,18,0,0,5,8,12,38,5,15,0,0,2,2,17,72,7,5,2,4,1,1,12,86,6,33,11,81,2,18,2,36,3,123,13,148,13,169,4,27,6,33,28,250,10,169,13,104,13,104,6,11,10,7,24,9,92,5,19,6,24,3,7,6,58,0,0,0,217,10,190,0,2,0,7,0,7.5,3,9.5,18,1,3,2,7,4,5,0,1,3,0,1,3,1,0
188,3282,TB,28,14,7,0,7,5,18,3,98,25,415,41,24,1,0,0,3,126,2,15,1,16,1,30,55,34,4,1,3,0,0,1,0,5,3,71,216,7,3,3,1,19,8,6,5,3,22,4,21,9,40,3,1,3,20,1,-4,2,-2,14,27,8,71,3,0,2,9,13,108,8,47,9,66,3,76,3,60,5,28,28,252,0,0,8,90,5,43,33,228,17,164,13,122,12,94,3,10,11,7,67,7,43,0,0,8,70,5,-5,10,56,5,0,0,283,11,111,0,0,0,8.5,1,6.5,3,8,17,0,5,3,8,1,10,0,1,2,3,1,1,2,0
189,3283,CLE,13,0,6,7,0,3,14,2,55,17,264,41,25,0,0,0,5,207,2,12,2,55,0,0,75,24.5,2,0,2,0,0,0,0,1,1,13,58,7,3,3,1,23,9,9,5,2,-3,2,2,0,0,10,46,0,0,3,10,0,0,8,23,6,13,3,19,0,0,8,63,10,74,14,85,2,0,1,0,6,33,17,97,14,90,4,40,6,28,26,147,17,112,13,77,11,66,5,17,3,7,24,7,55,4,21,12,45,3,0,3,32,0,0,0,212,10,199,0,2,0,2.5,2,9,7.5,5.5,12.5,0,3,1,6,3,4,0,2,3,0,1,1,1,1
