PID,PUNTER,PGRO,PNET,PTB,PR,PRY,PFC
527560,SL-0400,68,52,N,JL-1200,16,N
527572,SL-0400,55,55,N,XX-0000,0,N
527591,SL-0400,59,44,N,JL-1200,15,N
527627,DZ-0100,31,31,N,MT-0550,0,Y
527639,BF-0300,39,37,N,PP-0400,2,N
527643,DZ-0100,51,51,N,XX-0000,0,N
527664,DZ-0100,51,33,N,MT-0550,18,N
527669,BF-0300,42,42,N,XX-0000,0,N
527674,DZ-0100,68,68,N,XX-0000,0,N
527719,BF-0300,45,45,N,PP-0400,0,Y
527723,DZ-0100,56,56,N,XX-0000,0,N
527736,DZ-0100,24,24,N,DB-1800,0,Y
527741,BF-0300,47,39,N,PP-0400,8,N
527745,DZ-0100,51,51,N,DB-1800,0,Y
527749,BF-0300,48,40,N,PP-0400,8,N
527768,DZ-0100,46,46,N,DB-1800,0,Y
527790,DZ-0100,57,48,N,DB-1800,9,N
527809,BA-0850,44,43,N,BT-0300,1,N
527846,KH-2600,58,58,N,XX-0000,0,N
527851,BA-0850,61,48,N,BT-0300,13,N
527869,BA-0850,42,42,N,XX-0000,0,N
527883,BA-0850,61,41,Y,XX-0000,0,N
527930,BA-0850,43,24,N,BT-0300,19,N
527934,KH-2600,36,36,N,XX-0000,0,N
527941,BA-0850,44,44,N,BT-0300,0,Y
527945,KH-2600,49,49,N,XX-0000,0,N
527964,MK-1200,40,40,N,BB-0600,0,Y
527969,SR-0800,61,52,N,RP-0300,9,N
527992,MK-1200,55,55,N,BB-0600,0,N
528015,MK-1200,64,45,N,BB-0600,19,N
528035,SR-0800,51,42,N,RP-0300,9,N
528039,MK-1200,23,23,N,XX-0000,0,N
528052,SR-0800,28,28,N,RP-0300,0,Y
528059,MK-1200,58,60,N,BB-0600,-2,N
528070,SR-0800,50,41,N,RP-0300,9,N
528100,SR-0800,33,33,N,RP-0300,0,Y
528106,MK-1200,37,37,N,BB-0600,0,Y
528110,SR-0800,57,44,N,RP-0300,13,N
528132,TM-0800,47,43,N,DS-3300,4,N
528136,TM-3300,28,28,N,XX-0000,0,N
528183,TM-3300,32,32,N,RC-1500,0,Y
528276,TM-0800,35,35,N,XX-0000,0,N
528280,TM-3300,48,48,N,XX-0000,0,N
528318,SW-0500,39,39,N,DJ-0950,0,Y
528322,MM-1900,56,38,N,RR-0130,18,N
528327,SW-0500,43,40,N,DJ-0950,3,N
528336,MM-1900,43,45,N,RR-0130,-2,N
528345,SW-0500,60,40,Y,XX-0000,0,N
528354,MM-1900,32,32,N,RR-0130,0,Y
528365,SW-0500,49,29,Y,XX-0000,0,N
528369,MM-1900,51,38,N,RR-0130,13,N
528373,SW-0500,31,31,N,XX-0000,0,N
528489,BM-3600,41,41,N,XX-0000,0,N
528500,AP-1800,37,37,N,XX-0000,0,N
528505,BM-3600,38,30,N,DH-2700,8,N
528509,AP-1800,52,52,N,XX-0000,0,N
528516,BM-3600,32,32,N,XX-0000,0,N
528618,AP-1800,31,31,N,DH-1800,0,Y
528662,JH-3230,56,45,N,PP-0400,11,N
528667,DZ-0100,49,49,N,DA-0900,0,Y
528672,JH-3230,68,68,N,XX-0000,0,N
528676,DZ-0100,46,32,N,DA-0900,14,N
528689,DZ-0100,46,46,N,XX-0000,0,N
528693,JH-3230,60,41,N,PP-0400,19,N
528708,JH-3230,57,57,N,XX-0000,0,N
528716,DZ-0100,49,36,N,JJ-1550,13,N
528722,DZ-0100,48,44,N,JJ-1550,4,N
528728,JH-3230,58,56,N,PP-0400,2,N
528732,DZ-0100,51,46,N,JJ-1550,5,N
528752,DZ-0100,31,31,N,JJ-1550,0,Y
528783,JH-3230,55,29,N,PP-0400,26,N
528793,JH-3230,44,26,N,PP-0400,18,N
528802,BF-0300,45,45,N,XX-0000,0,N
