PID,KICKER,KGRO,KNET,KTB,KR,KRY
532401,RL-0900,70,38,N,WP-0700,32
532428,JF-0900,65,45,Y,XX-0000,0
532435,RL-0900,66,49,N,WP-0700,17
532473,JF-0900,65,45,Y,XX-0000,0
532482,JF-0900,65,45,Y,XX-0000,0
532498,SH-0400,65,45,Y,XX-0000,0
532516,SH-0400,67,47,N,DW-4300,20
532524,SG-0800,67,50,N,LW-0500,17
532534,SH-0400,65,45,Y,XX-0000,0
532553,SG-0800,65,45,Y,XX-0000,0
532572,SG-0800,65,45,Y,XX-0000,0
532583,SG-0800,65,45,Y,XX-0000,0
532596,SG-0800,65,45,Y,XX-0000,0
532636,SG-0800,71,48,N,LW-0500,23
532643,SH-0400,65,45,Y,XX-0000,0
532665,SH-0400,68,45,N,DW-4300,23
532672,LT-1100,72,50,N,KW-1800,22
532701,DA-0300,67,21,N,DW-4050,46
532718,LT-1100,67,42,N,KW-1800,25
532732,LT-1100,68,42,N,KW-1800,26
532748,DA-0300,63,-3,N,DW-4050,66
532757,LT-1100,60,46,N,KW-1800,14
532766,LT-1100,63,44,N,KW-1800,19
532775,LT-1100,60,50,N,KW-1800,10
532820,LT-1100,56,36,Y,XX-0000,0
532830,KF-0250,65,45,Y,XX-0000,0
532840,BW-0350,65,45,Y,XX-0000,0
532853,BW-0350,74,54,Y,XX-0000,0
532864,BW-0350,65,45,Y,XX-0000,0
532878,KF-0250,63,29,N,PH-0400,34
532897,KF-0250,67,47,Y,XX-0000,0
532901,KF-0250,63,42,N,PH-0400,21
532910,BW-0350,65,45,Y,XX-0000,0
532923,KF-0250,71,26,N,PH-0400,45
532936,BW-0350,65,45,Y,XX-0000,0
532953,KF-0250,65,45,Y,XX-0000,0
532965,BW-0350,65,45,Y,XX-0000,0
532980,BW-0350,65,45,Y,XX-0000,0
532985,KF-0250,64,44,Y,XX-0000,0
533004,MC-3000,66,46,N,KM-0450,20
533018,MC-3000,50,36,N,KM-0450,14
533048,MC-3000,65,45,Y,XX-0000,0
533061,SG-1100,62,43,N,RC-1500,19
533071,MC-3000,74,54,Y,XX-0000,0
533081,SG-1100,70,49,N,RC-1500,21
533092,SG-1100,72,52,Y,XX-0000,0
533112,MC-3000,74,43,N,KM-0450,31
533133,SG-1100,68,22,N,RC-1500,46
533138,MC-3000,65,45,Y,XX-0000,0
533146,MC-3000,65,45,Y,XX-0000,0
533165,SG-1100,19,19,N,XX-0000,0
533183,MP-2100,73,35,N,RG-1300,38
533201,NN-0200,50,46,N,OB-0150,4
533205,NN-0200,71,51,N,OB-0150,20
533246,NN-0200,67,43,N,OB-0150,24
533263,NN-0200,70,50,Y,XX-0000,0
533265,NN-0200,70,50,N,OB-0150,20
533275,MP-2100,65,50,N,RG-1300,15
533288,MP-2100,66,43,N,RG-1300,23
533305,MP-2100,61,50,N,CB-3000,11
533317,MP-2100,72,33,N,RG-1300,39
533339,MP-2100,65,45,Y,XX-0000,0
533350,SH-0400,70,44,N,TG-0900,26
533371,SH-0400,73,53,Y,XX-0000,0
533383,DA-0300,73,53,Y,XX-0000,0
533392,SH-0400,64,49,N,TG-0900,15
533422,DA-0300,65,45,Y,XX-0000,0
533445,DA-0300,65,45,Y,XX-0000,0
533471,DA-0300,65,45,Y,XX-0000,0
533490,RL-0900,61,42,N,DR-1200,19
533501,RB-2200,62,33,N,LM-1100,29
533517,RL-0900,64,48,N,DR-1200,16
533520,RB-2200,54,-35,N,BS-2400,89
533522,RL-0900,65,45,Y,XX-0000,0
533538,RB-2200,73,53,Y,XX-0000,0
533549,RL-0900,61,34,N,DR-1200,27
533567,RB-2200,65,19,N,LM-1100,46
533579,RB-2200,51,31,N,BS-2400,20
533588,RL-0900,65,33,N,DR-1200,32
533605,RL-0900,64,42,N,DR-1200,22
533640,RB-2200,74,54,Y,XX-0000,0
533646,MK-1200,65,45,Y,XX-0000,0
533654,MK-1200,74,54,Y,XX-0000,0
533670,MK-1200,65,45,Y,XX-0000,0
533681,TM-3300,65,45,Y,XX-0000,0
533689,MK-1200,65,45,Y,XX-0000,0
533700,TM-3300,73,57,N,AB-1200,16
533713,TM-3300,70,50,Y,XX-0000,0
533730,TM-3300,59,25,N,XX-0000,0
533732,TM-3300,72,52,Y,XX-0000,0
533770,TM-3300,73,53,Y,XX-0000,0
533799,MK-1200,65,45,Y,XX-0000,0
533817,PD-0200,74,54,Y,XX-0000,0
533832,PM-0300,68,37,N,JC-5600,31
533852,PD-0200,65,41,N,MM-4800,24
533869,PM-0300,73,25,N,JC-5600,48
533897,PM-0300,69,49,Y,XX-0000,0
533905,PD-0200,73,53,Y,XX-0000,0
533924,PM-0300,71,51,Y,XX-0000,0
533978,KF-0250,72,40,N,DW-4050,32
534006,KF-0250,70,50,Y,XX-0000,0
534020,LT-1100,71,51,Y,XX-0000,0
534030,KF-0250,63,37,N,DW-4050,26
534041,LT-1100,74,54,Y,XX-0000,0
534048,KF-0250,71,51,Y,XX-0000,0
534059,LT-1100,56,39,N,NP-0100,17
534060,LT-1100,65,45,Y,XX-0000,0
534097,LT-1100,65,45,Y,XX-0000,0
534114,KF-0250,67,48,N,DW-4050,19
534130,KF-0250,71,42,N,DW-4050,29
534134,LT-1100,65,45,Y,XX-0000,0
534139,DB-0200,60,25,N,XX-0000,0
534172,DB-0200,65,45,Y,XX-0000,0
534203,JM-4000,65,45,Y,XX-0000,0
534205,JM-4000,65,45,Y,XX-0000,0
534224,DB-0200,70,49,N,KP-0700,21
534238,DB-0200,71,44,N,KP-0700,27
534258,JM-4000,65,45,Y,XX-0000,0
534280,DB-0200,65,45,Y,XX-0000,0
534292,DB-0200,65,45,Y,XX-0000,0
534299,MC-3000,73,53,Y,XX-0000,0
534318,GZ-2000,74,54,Y,XX-0000,0
534326,MC-3000,16,16,N,XX-0000,0
534333,MC-3000,68,45,N,CG-1060,23
534368,GZ-2000,73,50,N,RC-1500,23
534376,GZ-2000,73,53,Y,XX-0000,0
534390,MC-3000,65,45,Y,XX-0000,0
534417,MC-3000,72,52,Y,XX-0000,0
534425,GZ-2000,65,45,Y,XX-0000,0
534437,MC-3000,73,46,N,CG-1060,27
534446,MC-3000,74,42,N,IP-0300,32
534459,GZ-2000,65,45,Y,XX-0000,0
534461,JT-3950,65,45,Y,XX-0000,0
534474,JT-3950,72,52,Y,XX-0000,0
534492,SK-0600,64,47,N,KM-0450,17
534503,SG-1100,70,23,N,JJ-3900,47
534507,SG-1100,65,45,Y,XX-0000,0
534530,SG-1100,66,45,N,JJ-3900,21
534543,SG-1100,66,21,N,JJ-3900,45
534562,SG-1100,31,26,N,LW-1200,5
534563,SG-1100,59,38,N,JJ-3900,21
534579,SK-0600,71,51,Y,XX-0000,0
534594,SG-1100,66,40,N,JJ-3900,26
534610,SK-0600,9,9,N,XX-0000,0
534618,SG-1100,72,36,N,JJ-3900,36
534635,JF-0900,68,49,N,PH-0400,19
534652,BW-0350,66,52,N,WP-0700,14
534674,JF-0900,65,37,N,PH-0400,28
534689,BW-0350,72,52,Y,XX-0000,0
534709,BW-0350,65,45,Y,XX-0000,0
534714,BW-0350,73,53,Y,XX-0000,0
534783,JF-0900,8,8,N,XX-0000,0
534788,NF-0300,72,52,Y,XX-0000,0
534808,NF-0300,69,-35,N,DM-1300,104
534810,SG-0800,64,25,N,JM-3600,39
534823,SG-0800,65,24,N,JM-3600,41
534842,RM-0400,67,50,N,WW-0200,17
534880,NF-0300,35,29,N,JE-0100,6
534881,SG-0800,70,33,N,JM-3600,37
534893,NF-0300,70,48,N,DM-1300,22
534912,SG-0800,65,45,Y,XX-0000,0
534941,NF-0300,66,44,N,DM-1300,22
534953,NF-0300,65,50,N,DM-1300,15
534958,NF-0300,63,44,N,DM-1300,19
534965,NF-0300,66,49,N,DM-1300,17
534979,SG-0800,69,50,N,JM-3600,19
534987,SJ-0300,71,49,N,MS-3900,22
535009,SJ-0300,65,45,Y,XX-0000,0
535017,JS-1100,66,21,N,MG-1000,45
535037,JS-1100,70,45,N,MG-1000,25
535052,JS-1100,10,10,N,XX-0000,0
535068,SJ-0300,73,53,Y,XX-0000,0
535070,JS-1100,67,47,Y,XX-0000,0
535081,JS-1100,67,50,N,MG-1000,17
535093,SJ-0300,66,48,N,MS-3900,18
535113,JS-1100,61,49,N,MG-1000,12
535128,SJ-0300,65,45,Y,XX-0000,0
535146,SJ-0300,66,46,Y,XX-0000,0
535167,SJ-0300,60,46,N,MT-0900,14
535173,MN-0800,66,25,N,CR-0250,41
535183,SS-3100,70,45,N,BT-0300,25
535200,MN-0800,71,33,N,CR-0250,38
535221,MN-0800,64,44,N,CR-0250,20
535232,SS-3100,73,53,Y,XX-0000,0
535246,SS-3100,58,51,N,CP-2300,7
535248,SS-3100,72,27,N,BT-0300,45
535257,MN-0800,62,26,N,CR-0250,36
535264,SS-3100,65,26,N,BT-0300,39
535287,SS-3100,59,41,N,CP-0800,18
535322,RG-1500,65,45,Y,XX-0000,0
535334,RG-1500,69,44,N,SL-0900,25
535357,RG-1500,70,51,N,SL-0900,19
535405,JH-0900,68,41,N,EW-0500,27
535417,RG-1500,65,45,Y,XX-0000,0
535492,JH-0900,19,19,N,XX-0000,0
535494,MK-1200,65,45,Y,XX-0000,0
535513,MK-1200,65,45,Y,XX-0000,0
535529,MK-1200,65,45,Y,XX-0000,0
535545,MK-1200,65,45,Y,XX-0000,0
535553,BW-0350,67,47,Y,XX-0000,0
535569,MK-1200,65,45,Y,XX-0000,0
535580,BW-0350,69,49,Y,XX-0000,0
535588,BW-0350,71,51,Y,XX-0000,0
535594,MK-1200,65,45,Y,XX-0000,0
535607,MK-1200,72,29,N,PH-0400,43
535611,BW-0350,70,50,Y,XX-0000,0
535645,MK-1200,65,45,Y,XX-0000,0
535670,RG-1500,65,45,Y,XX-0000,0
535695,RG-1500,65,45,Y,XX-0000,0
535702,JM-4000,30,22,N,KA-0300,8
535710,JM-4000,42,42,N,XX-0000,0
535733,JM-4000,48,45,N,EW-0500,3
535757,JM-4000,27,22,N,CS-3800,5
535775,JM-4000,31,24,N,AA-0900,7
535788,JM-4000,49,31,N,EB-0600,18
535810,RG-1500,65,45,Y,XX-0000,0
535813,RG-1500,65,45,Y,XX-0000,0
535826,JM-4000,46,43,N,AA-0900,3
535836,PD-0200,67,46,N,RG-1300,21
535860,PD-0200,58,47,N,CC-0700,11
535915,NN-0200,60,30,N,JC-5600,30
535948,NN-0200,60,35,N,JC-5600,25
535993,AH-2600,65,45,Y,XX-0000,0
536013,MB-3000,67,48,N,BB-2530,19
536029,MB-3000,59,31,N,BB-2530,28
536045,AH-2600,62,38,N,JR-2800,24
536051,MB-3000,65,45,Y,XX-0000,0
536073,MB-3000,35,35,N,XX-0000,0
536075,MB-3000,68,48,N,BB-2530,20
536085,AH-2600,65,45,Y,XX-0000,0
536099,MB-3000,62,40,N,BB-2530,22
536114,MB-3000,65,45,Y,XX-0000,0
536132,AH-2600,57,51,N,JR-2800,6
536159,NF-0300,64,43,N,MT-0550,21
536170,DC-0500,16,16,N,XX-0000,0
536191,DC-0500,65,41,N,JM-3600,24
536203,DC-0500,50,36,N,KR-0430,14
536226,DC-0500,65,45,Y,XX-0000,0
536247,DC-0500,66,19,N,EG-0100,47
536256,NF-0300,62,5,N,MT-0550,57
536264,DC-0500,69,53,N,EG-0100,16
536312,NF-0300,10,10,N,XX-0000,0
