PID,FGXP,FKICKER,DIST,GOOD
523989,FG,AV-0400,37,Y
524013,XP,CB-0700,20,Y
524035,XP,DB-0200,20,Y
524067,FG,DB-0200,32,Y
524128,FG,DB-0200,26,Y
524148,FG,DB-0200,22,Y
524160,FG,CB-0700,28,Y
524179,XP,DC-0500,20,Y
524218,FG,DC-0500,21,Y
524236,FG,NF-0300,33,Y
524247,XP,NF-0300,20,Y
524277,XP,DC-0500,20,Y
524287,FG,NF-0300,20,Y
524298,FG,DC-0500,47,N
524326,XP,NF-0300,20,Y
524340,FG,DC-0500,41,Y
524362,FG,DC-0500,48,N
524367,FG,NF-0300,33,Y
524370,XP,MN-0800,20,Y
524380,XP,BC-3000,20,Y
524402,XP,MN-0800,20,Y
524435,FG,MN-0800,47,Y
524441,XP,MN-0800,20,Y
524451,FG,BC-3000,36,Y
524464,XP,BC-3000,20,Y
524480,XP,BC-3000,20,Y
524501,XP,MN-0800,20,Y
524513,XP,MN-0800,20,Y
524528,XP,BC-3000,20,Y
524551,XP,GH-0600,20,Y
524566,FG,RS-3400,25,Y
524577,FG,GH-0600,40,Y
524604,FG,RS-3400,45,Y
524616,FG,GH-0600,38,N
524630,XP,GH-0600,20,Y
524651,XP,GH-0600,20,Y
524654,XP,RS-3400,20,Y
524669,FG,RS-3400,34,Y
524686,FG,RS-3400,38,Y
524712,FG,RS-3400,43,Y
524739,FG,RS-3400,31,Y
524749,FG,JH-0900,47,Y
524762,FG,JH-0900,53,Y
524773,FG,RB-2200,31,Y
524779,XP,RB-2200,20,Y
524788,XP,RB-2200,20,Y
524802,FG,JH-0900,33,Y
524823,FG,RB-2200,38,Y
524839,FG,RB-2200,41,N
524848,XP,JH-0900,20,Y
524858,FG,RB-2200,48,N
524869,FG,JH-0900,26,Y
524884,XP,RB-2200,20,Y
524894,XP,RB-2200,20,Y
524904,XP,RB-2200,20,Y
524914,XP,JH-0900,20,Y
524918,XP,JH-0900,20,Y
524933,FG,RB-2200,26,Y
524961,XP,BW-0350,20,Y
524988,FG,DA-0300,29,Y
525001,XP,BW-0350,20,Y
525014,FG,DA-0300,43,N
525023,FG,BW-0350,52,Y
525029,FG,DA-0300,29,Y
525044,XP,DA-0300,20,Y
525061,XP,BW-0350,20,Y
525117,FG,JF-0900,47,Y
525139,XP,JF-0900,20,Y
525162,XP,JF-0900,20,Y
525186,XP,JF-0900,20,Y
525206,FG,AH-2600,36,Y
525219,FG,AH-2600,40,Y
525247,FG,JF-0900,27,Y
525325,XP,MB-4600,20,Y
525334,XP,MB-4600,20,Y
525352,FG,NK-0200,41,Y
525388,XP,MB-4600,20,Y
525428,FG,MP-2100,32,Y
525435,XP,SG-1100,20,Y
525461,XP,SG-1100,20,Y
525469,XP,SG-1100,20,Y
525479,FG,MP-2100,23,Y
525502,FG,MP-2100,53,Y
525521,FG,SG-1100,41,Y
525544,XP,SG-1100,20,Y
525564,XP,MP-2100,20,Y
525588,XP,MP-2100,20,Y
525609,XP,SS-3100,20,Y
525614,XP,SJ-0300,20,Y
525628,XP,SS-3100,20,Y
525670,XP,SJ-0300,20,Y
525680,FG,SS-3100,33,Y
525692,XP,SS-3100,20,Y
525704,XP,SJ-0300,20,Y
525715,XP,SS-3100,20,Y
525730,XP,SJ-0300,20,Y
525744,FG,SJ-0300,32,Y
525763,FG,SJ-0300,43,Y
525781,FG,SG-0800,37,Y
525787,XP,SG-0800,20,Y
525804,FG,SG-0800,49,Y
