PID,BC,DIR,YDS
518683,JC-2300,MD,-2
518684,JC-2300,RT,6
518687,SD-0800,LE,14
518689,SD-0800,RE,3
518693,JR-2800,RT,6
518694,JR-2800,MD,5
518695,JS-4800,MD,2
518696,JS-4800,RG,3
518697,JR-2800,LE,1
518699,JC-2300,MD,8
518704,SD-0800,MD,3
518709,SD-0800,MD,4
518714,SG-1300,RG,4
518716,JM-3600,RE,3
518718,SG-1300,RT,3
518721,FJ-0100,RT,2
518723,FJ-0100,RG,-3
518725,SG-1300,LT,2
518726,SG-1300,MD,1
518728,BP-1200,LE,4
518731,SG-1300,MD,12
518732,TT-0700,LT,4
518736,CS-3400,LT,3
518739,RF-0500,MD,9
518740,FJ-0100,LT,4
518743,BP-1200,LE,0
518746,TT-0700,RT,3
518750,FJ-0100,LE,2
518758,FJ-0100,LG,3
518760,FJ-0100,RT,7
518761,CS-3400,MD,0
518764,CS-3400,LT,56
518767,SG-1300,MD,2
518769,SG-1300,RT,4
518770,SG-1300,RT,4
518773,SG-1300,RG,5
518775,SG-1300,MD,1
518778,SG-1300,MD,4
518779,TT-0700,LT,0
518786,BP-1200,MD,6
518793,RF-0500,NL,-1
518795,CS-3400,MD,8
518796,CS-3400,RE,8
518802,CS-3400,LT,6
518806,SG-1300,RT,3
518807,SG-1300,MD,1
518811,CS-3400,MD,5
518812,CS-3400,LE,5
518816,CS-3400,MD,49
518817,TC-1300,RT,1
518818,TC-1300,MD,0
518823,SG-1300,LE,-1
518825,SG-1300,LE,6
518826,SG-1300,MD,3
518827,SG-1300,MD,3
518828,TT-0700,LT,3
518829,SG-1300,RG,4
518834,CS-3400,RE,4
518840,CS-3400,MD,2
518842,CS-3400,LG,6
518843,CS-3400,RG,14
518845,CS-3400,LE,3
518849,SG-1300,LE,0
518851,SG-1300,LT,3
518852,SG-1300,MD,2
518861,SG-1300,MD,3
518863,SG-1300,MD,2
518864,SG-1300,LG,3
518865,SG-1300,RT,14
518867,TT-0700,LE,1
518868,SG-1300,RT,5
518869,SG-1300,MD,1
518872,TC-1300,MD,7
518873,TC-1300,LE,-5
518875,NB-0800,RE,6
518877,KS-1700,RT,6
518880,SL-0900,RE,1
518884,KS-1700,LE,6
518889,SJ-0200,RT,0
518894,SJ-0200,LT,1
518895,SJ-0200,LT,7
518896,SJ-0200,RT,1
518902,KS-1700,LT,5
518904,TY-0300,LE,11
518906,KS-1700,LT,-2
518908,KS-1700,LT,19
