UID,GID,PLAYER,PA,PC,PY,INT,RA,SRA,RY,TRG,REC,RECY,FUML,PENY
278,3215,SR-0500,0,0,0,0,0,0,0,2,1,9,0,0
279,3215,ZM-0200,0,0,0,0,0,0,0,1,1,7,0,0
280,3215,DB-0500,0,0,0,0,0,0,0,1,1,8,0,0
281,3215,GT-0100,0,0,0,0,0,0,0,1,1,8,0,0
282,3216,CB-3000,0,0,0,0,6,2,12,1,1,-4,0,0
283,3216,PR-0300,6,5,31,0,0,0,0,0,0,0,0,0
284,3216,MF-0800,0,0,0,0,0,0,0,1,0,0,0,0
285,3216,DR-3200,0,0,0,0,0,0,0,3,3,30,0,0
286,3216,RB-3900,0,0,0,0,1,0,1,1,1,5,0,0
287,3216,JL-2300,4,2,21,0,0,0,0,0,0,0,0,0
288,3216,KB-1900,0,0,0,0,0,0,0,1,0,0,0,0
289,3216,CJ-1700,0,0,0,0,1,1,4,1,0,0,0,0
290,3216,DW-3100,0,0,0,0,0,0,0,1,1,6,0,0
291,3216,KW-2550,0,0,0,0,0,0,0,1,1,15,0,0
292,3216,JB-1700,0,0,0,0,7,4,21,0,0,0,0,0
293,3217,RT-0150,2,1,14,0,1,1,2,0,0,0,0,0
294,3217,BH-0800,0,0,0,0,0,0,0,1,0,0,0,0
295,3217,RB-4900,0,0,0,0,2,1,4,0,0,0,0,0
296,3217,CP-0500,5,1,6,0,0,0,0,0,0,0,0,0
297,3217,DM-1600,0,0,0,0,1,0,0,2,1,6,0,0
298,3217,DH-2800,0,0,0,0,0,0,0,2,0,0,0,0
299,3217,RG-1400,0,0,0,0,0,0,0,1,0,0,0,0
300,3217,AF-0200,0,0,0,0,0,0,0,1,1,14,0,0
301,3217,LM-1150,0,0,0,0,1,1,15,0,0,0,0,0
302,3218,IR-0100,0,0,0,0,2,1,-1,0,0,0,0,0
303,3218,MS-0100,2,1,14,0,0,0,0,0,0,0,0,0
304,3218,SH-1300,0,0,0,0,0,0,0,1,1,14,0,0
305,3218,JC-5900,0,0,0,0,0,0,0,1,0,0,0,0
306,3218,JD-3400,0,0,0,0,4,3,18,0,0,0,0,0
307,3218,BR-1100,2,2,7,0,0,0,0,0,0,0,0,0
308,3218,JC-5400,0,0,0,0,0,0,0,1,1,6,0,0
309,3218,HM-0200,0,0,0,0,0,0,0,1,1,1,0,0
310,3219,FG-0200,0,0,0,0,3,2,8,0,0,0,0,0
311,3219,AS-1600,1,0,0,0,0,0,0,0,0,0,0,0
312,3219,KW-1800,0,0,0,0,0,0,0,1,0,0,0,0
313,3219,MS-4100,3,1,9,0,0,0,0,0,0,0,0,0
314,3219,JB-2700,0,0,0,0,0,0,0,1,0,0,0,0
315,3219,TS-0700,0,0,0,0,0,0,0,1,0,0,0,0
316,3219,BP-0600,0,0,0,0,0,0,0,1,1,9,0,0
317,3220,MT-2400,0,0,0,0,5,1,4,0,0,0,0,0
318,3220,MR-2500,6,4,13,0,1,1,4,0,0,0,0,0
319,3220,JJ-4700,0,0,0,0,0,0,0,2,1,-2,0,0
320,3220,RW-2200,0,0,0,0,0,0,0,2,1,4,0,0
321,3220,HD-0300,0,0,0,0,0,0,0,1,1,10,0,0
322,3220,TG-1300,0,0,0,0,0,0,0,1,1,1,0,0
323,3220,LB-0100,0,0,0,0,1,1,4,0,0,0,0,0
324,3220,PM-0200,5,2,29,0,0,0,0,0,0,0,0,0
325,3220,BS-4100,0,0,0,0,0,0,0,1,0,0,0,0
326,3220,DT-0900,0,0,0,0,0,0,0,2,1,17,0,4
327,3220,WM-0300,0,0,0,0,7,6,22,0,0,0,0,0
328,3220,KM-2900,0,0,0,0,0,0,0,1,1,12,0,0
329,3220,ED-0200,0,0,0,0,0,0,0,1,0,0,0,0
330,3221,EM-0200,3,2,19,0,1,0,4,0,0,0,0,0
331,3221,MB-1800,0,0,0,0,0,0,0,1,1,14,0,0
332,3221,AB-3400,0,0,0,0,6,3,13,1,1,5,0,0
333,3221,CN-0500,5,1,11,1,2,1,1,0,0,0,0,0
334,3221,GO-0100,0,0,0,0,0,0,0,4,1,11,0,0
335,3221,DW-3600,0,0,0,0,1,1,8,0,0,0,0,0
336,3221,RB-0800,0,0,0,0,0,0,0,1,0,0,0,0
337,3221,BL-0100,0,0,0,0,0,0,0,1,0,0,0,0
338,3221,DS-0900,0,0,0,0,5,3,10,0,0,0,0,0
339,3221,DC-0700,1,0,0,0,0,0,0,0,0,0,0,0
340,3221,RR-0130,0,0,0,0,0,0,0,1,0,0,0,0
341,3222,MB-5200,0,0,0,0,4,2,7,0,0,0,0,0
342,3222,JC-6200,3,1,12,0,0,0,0,0,0,0,0,0
343,3222,BM-0300,0,0,0,0,0,0,0,2,1,12,0,0
344,3222,DH-2700,0,0,0,0,0,0,0,1,0,0,0,0
345,3222,KB-0800,0,0,0,0,1,0,-4,0,0,0,0,0
346,3223,CS-3400,0,0,0,0,1,0,2,0,0,0,0,0
347,3223,RF-0500,8,4,29,0,3,0,-3,0,0,0,1,0
348,3223,DJ-2700,0,0,0,0,0,0,0,1,1,9,0,0
349,3223,TG-1550,0,0,0,0,0,0,0,2,2,18,0,0
350,3223,BW-0850,2,1,14,0,0,0,0,0,0,0,0,0
351,3223,MM-1300,0,0,0,0,0,0,0,1,1,14,0,0
352,3223,JC-0400,0,0,0,0,0,0,0,1,0,0,0,0
353,3223,TR-0350,0,0,0,0,1,1,6,0,0,0,0,0
354,3223,TC-1300,0,0,0,0,2,0,3,1,0,0,0,0
355,3223,SJ-0600,0,0,0,0,0,0,0,3,1,9,0,0
356,3224,BG-0100,2,0,0,0,0,0,0,0,0,0,0,0
357,3224,AL-1100,6,3,23,0,0,0,0,0,0,0,0,0
358,3224,TH-1850,0,0,0,0,0,0,0,2,0,0,0,0
359,3224,RW-1100,0,0,0,0,0,0,0,1,1,16,0,0
360,3224,MM-4800,0,0,0,0,0,0,0,1,1,4,0,0
361,3224,MJ-2500,0,0,0,0,2,0,1,0,0,0,0,0
362,3224,JB-3650,0,0,0,0,0,0,0,1,0,0,0,0
363,3224,KE-0250,0,0,0,0,0,0,0,1,0,0,0,0
364,3224,DB-4800,0,0,0,0,1,0,2,0,0,0,0,0
365,3224,DA-0850,0,0,0,0,0,0,0,1,1,4,0,0
366,3225,JF-3100,5,2,8,0,0,0,0,0,0,0,0,0
367,3225,VJ-0100,0,0,0,0,0,0,0,1,0,0,0,0
368,3225,DM-0450,0,0,0,0,3,2,6,0,0,0,0,0
369,3225,LS-1900,0,0,0,0,0,0,0,1,1,1,0,0
370,3225,TR-0800,6,3,2,0,0,0,0,1,1,-1,1,0
371,3225,DM-4300,0,0,0,0,4,2,23,2,2,3,0,0
372,3225,MA-1400,0,0,0,0,0,0,0,2,0,0,0,0
373,3225,KO-0300,0,0,0,0,0,0,0,1,0,0,0,0
374,3225,LV-0200,0,0,0,0,0,0,0,0,0,0,0,10
375,3225,TU-0200,0,0,0,0,0,0,0,1,1,7,0,0
376,3225,MW-2800,0,0,0,0,0,0,0,1,0,0,0,0
377,3225,DC-1600,0,0,0,0,0,0,0,1,0,0,0,0
378,3226,RB-4900,0,0,0,0,2,2,9,0,0,0,0,0
379,3226,DT-0600,0,0,0,0,4,3,15,0,0,0,0,0
380,3226,RT-0150,3,1,12,0,1,1,1,0,0,0,0,0
381,3226,BH-0800,0,0,0,0,0,0,0,2,0,0,0,0
382,3226,SG-1300,0,0,0,0,9,2,15,0,0,0,0,0
383,3226,MS-0100,5,2,17,1,1,0,4,0,0,0,0,0
384,3226,SH-1150,0,0,0,0,0,0,0,2,0,0,0,0
385,3226,SH-1300,0,0,0,0,0,0,0,1,1,10,0,0
386,3226,TT-0700,0,0,0,0,1,0,-5,0,0,0,0,0
387,3226,AF-0200,0,0,0,0,0,0,0,1,1,12,0,0
388,3226,JL-0260,0,0,0,0,1,1,1,0,0,0,0,0
389,3226,JC-5900,0,0,0,0,0,0,0,1,0,0,0,0
390,3226,JK-1000,0,0,0,0,0,0,0,1,1,7,0,0
391,3227,AD-0100,4,3,21,0,0,0,0,0,0,0,0,0
392,3227,AB-1700,0,0,0,0,0,0,0,1,1,6,0,0
393,3227,BL-0900,0,0,0,0,1,1,7,1,0,0,0,0
394,3227,BS-1400,0,0,0,0,1,0,1,0,0,0,0,0
395,3227,JG-3700,0,0,0,0,0,0,0,2,2,15,0,0
396,3227,KH-2600,0,0,0,0,1,0,-1,0,0,0,0,0
397,3227,AG-1500,0,0,0,0,1,1,11,0,0,0,0,0
398,3227,BG-1800,0,0,0,0,1,1,1,0,0,0,0,0
399,3227,AM-2850,0,0,0,0,3,3,19,0,0,0,0,0
400,3227,RG-1850,2,2,12,0,3,3,12,0,0,0,0,0
401,3227,BB-0600,0,0,0,0,1,0,-1,0,0,0,0,0
402,3227,SM-3600,0,0,0,0,0,0,0,1,1,3,0,0
403,3227,RH-1600,0,0,0,0,0,0,0,1,1,9,0,0
404,3228,DB-3800,8,4,29,0,0,0,0,0,0,0,0,0
405,3228,MC-2400,0,0,0,0,0,0,0,2,1,13,0,0
406,3228,LM-1500,0,0,0,0,0,0,0,2,1,9,0,0
407,3228,JC-2300,0,0,0,0,4,2,9,2,1,5,0,0
408,3228,MC-0700,5,2,12,0,0,0,0,0,0,0,0,0
409,3228,TM-3000,0,0,0,0,0,0,0,2,1,7,0,0
410,3228,JB-0900,0,0,0,0,0,0,0,1,0,0,0,0
411,3228,PT-0400,0,0,0,0,2,1,8,2,0,0,0,0
412,3228,JG-2900,0,0,0,0,0,0,0,1,1,1,0,0
413,3228,MI-0100,0,0,0,0,1,0,1,0,0,0,0,0
414,3228,JC-3700,0,0,0,0,0,0,0,1,1,6,0,0
415,3228,SD-0800,0,0,0,0,3,0,3,0,0,0,0,0
416,3229,JL-2300,5,2,8,0,1,0,-5,0,0,0,0,0
417,3229,KW-2550,0,0,0,0,0,0,0,2,1,1,0,0
418,3229,DR-1200,0,0,0,0,1,0,0,0,0,0,0,0
419,3229,KB-1900,0,0,0,0,0,0,0,1,0,0,0,0
420,3229,MS-4100,7,6,27,0,0,0,0,0,0,0,0,0
421,3229,NB-0800,0,0,0,0,1,0,3,4,4,12,0,0
422,3229,ML-1300,0,0,0,0,3,2,2,1,1,7,0,0
423,3229,CJ-1100,0,0,0,0,0,0,0,2,2,12,0,0
424,3229,TY-0300,0,0,0,0,0,0,0,2,1,6,0,0
425,3229,JB-2700,0,0,0,0,2,1,4,2,1,10,0,0
426,3229,SH-1100,5,3,19,0,1,0,-1,0,0,0,0,0
427,3229,DW-3100,0,0,0,0,0,0,0,2,1,7,0,0
428,3230,CP-2000,5,3,14,0,0,0,0,0,0,0,0,0
429,3230,TG-0600,0,0,0,0,0,0,0,1,0,0,0,0
430,3230,SB-2100,0,0,0,0,0,0,0,1,0,0,0,0
431,3230,KR-1200,0,0,0,0,0,0,0,3,3,14,0,0
432,3230,AP-0700,0,0,0,0,5,2,7,0,0,0,0,0
433,3230,FG-0200,0,0,0,0,2,0,6,0,0,0,0,0
434,3230,AS-1600,3,2,8,0,1,0,1,0,0,0,0,5
435,3230,RM-5000,0,0,0,0,0,0,0,1,0,0,0,0
436,3230,KW-1800,0,0,0,0,0,0,0,1,1,7,0,0
437,3230,KH-2900,0,0,0,0,1,0,3,0,0,0,0,0
438,3230,VD-0100,0,0,0,0,0,0,0,1,1,1,0,0
439,3230,PH-0400,0,0,0,0,1,1,9,0,0,0,0,0
440,3231,PP-0400,0,0,0,0,1,0,-4,0,0,0,0,0
441,3231,CW-1400,0,0,0,0,1,1,5,0,0,0,0,0
442,3231,KK-1200,2,1,8,0,0,0,0,0,0,0,0,0
443,3231,ED-0700,0,0,0,0,0,0,0,1,0,0,0,0
444,3231,MF-0950,0,0,0,0,0,0,0,1,1,8,0,0
445,3231,MV-0300,3,1,14,0,0,0,0,0,0,0,1,0
446,3231,DJ-0200,0,0,0,0,0,0,0,3,1,14,0,0
447,3231,LS-1700,0,0,0,0,5,1,-3,0,0,0,0,0
448,3232,MR-2500,6,4,30,1,0,0,0,0,0,0,0,0
449,3232,JR-2800,0,0,0,0,2,1,5,1,1,8,0,0
450,3232,MB-3000,0,0,0,0,1,0,0,0,0,0,0,0
451,3232,RM-1200,0,0,0,0,3,1,13,0,0,0,1,0
452,3232,TG-1300,0,0,0,0,0,0,0,2,1,7,0,0
453,3232,JJ-4700,0,0,0,0,0,0,0,2,2,15,0,0
454,3232,MT-2400,0,0,0,0,2,1,8,0,0,0,0,0
455,3232,JS-4800,0,0,0,0,1,1,3,0,0,0,0,0
456,3232,CB-3000,0,0,0,0,1,1,5,0,0,0,0,0
457,3232,PR-0300,1,1,0,0,0,0,0,0,0,0,0,0
