UID,GID,PLAYER,PA,PC,PY,INT,TDP,RA,SRA,RY,TDR,TRG,REC,RECY,TDRE,FUML,PENY,FPTS,GAME,SEAS,YEAR,TEAM
100,3194,MS-4100,48,32,354,3,1,0,0,0,0,1,1,3,0,0,0,12.5,1,4,2012,DET
101,3194,CJ-1100,0,0,0,0,0,0,0,0,0,7,6,111,0,0,0,11.1,1,6,2012,DET
102,3194,KS-1700,0,0,0,0,0,13,6,62,1,6,4,29,1,0,0,21.1,1,5,2012,DET
103,3194,WH-0500,0,0,0,0,0,0,0,0,0,2,2,19,0,0,0,1.9,1,10,2012,DET
104,3194,SL-0900,0,0,0,0,0,1,0,1,0,1,1,-1,0,0,0,0,1,4,2012,DET
105,3194,TS-0700,0,0,0,0,0,0,0,0,0,8,5,30,0,0,0,3,1,7,2012,DET
106,3194,BP-0600,0,0,0,0,0,0,0,0,0,10,5,77,0,0,0,7.7,1,4,2012,DET
107,3194,SJ-0200,0,0,0,0,0,21,8,53,0,4,4,31,0,0,0,8.4,1,9,2012,STL
108,3194,SB-1100,25,17,194,0,1,2,0,2,0,0,0,0,0,0,0,12,1,3,2012,STL
109,3194,DA-0900,0,0,0,0,0,1,0,2,0,9,5,70,0,0,0,7.2,1,4,2012,STL
110,3194,LK-0200,0,0,0,0,0,0,0,0,0,2,2,16,0,0,0,1.6,1,2,2012,STL
111,3194,SS-2200,0,0,0,0,0,0,0,0,0,3,1,16,0,0,0,1.6,1,6,2012,STL
112,3194,BG-0600,0,0,0,0,0,0,0,0,0,5,4,51,1,0,15,9.6,1,4,2012,STL
113,3194,TY-0300,0,0,0,0,0,1,1,11,0,3,1,14,0,0,15,1,1,2,2012,DET
114,3194,KW-1200,0,0,0,0,0,1,0,2,0,1,1,4,0,0,0,0.6,1,3,2012,DET
115,3194,JB-2700,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,6.1,1,3,2012,DET
116,3194,CG-1060,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2012,STL
117,3194,DR-1450,0,0,0,0,0,2,1,20,0,0,0,0,0,0,0,2,1,1,2012,STL
118,3194,MM-3000,0,0,0,0,0,0,0,0,0,1,1,10,0,0,0,1,1,2,2012,STL
119,3195,DB-3800,52,24,338,2,3,0,0,0,0,0,0,0,0,0,0,21.5,1,12,2012,NO
120,3195,MC-2400,0,0,0,0,0,0,0,0,0,11,4,71,0,1,0,5.1,1,7,2012,NO
121,3195,LM-1500,0,0,0,0,0,0,0,0,0,10,6,120,1,0,5,17.5,1,7,2012,NO
122,3195,RG-1850,26,19,320,0,2,9,3,42,0,0,0,0,0,0,0,25,1,1,2012,WAS
123,3195,PG-0100,0,0,0,0,0,0,0,0,0,4,4,109,1,0,0,16.9,1,5,2012,WAS
124,3195,AR-1200,0,0,0,0,0,0,0,0,0,6,4,52,1,0,0,11.2,1,2,2012,WAS
125,3195,AM-2850,0,0,0,0,0,28,10,96,2,0,0,0,0,0,0,21.6,1,1,2012,WAS
126,3195,BB-0600,0,0,0,0,0,0,0,0,0,1,1,6,0,0,0,0.6,1,3,2012,WAS
127,3195,RH-1600,0,0,0,0,0,2,0,2,0,3,3,25,0,0,10,1.7,1,2,2012,WAS
128,3195,PT-0400,0,0,0,0,0,4,2,17,0,1,1,12,0,0,0,2.9,1,6,2012,NO
129,3195,JG-2900,0,0,0,0,0,0,0,0,0,10,6,85,1,0,0,14.5,1,3,2012,NO
130,3195,MI-0100,0,0,0,0,0,6,3,15,0,1,0,0,0,0,0,1.5,1,2,2012,NO
131,3195,DS-3300,0,0,0,0,0,1,1,0,0,8,5,35,1,0,0,9.5,1,8,2012,NO
132,3195,JC-3700,0,0,0,0,0,0,0,0,0,2,0,0,0,0,10,-1,1,2,2012,NO
133,3195,DY-0200,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0.3,1,3,2012,WAS
134,3195,FD-0200,0,0,0,0,0,0,0,0,0,4,2,38,0,0,10,2.8,1,5,2012,WAS
135,3195,SM-3600,0,0,0,0,0,0,0,0,0,5,3,47,0,0,0,4.7,1,12,2012,WAS
136,3195,JM-6300,0,0,0,0,0,0,0,0,0,2,1,21,0,0,0,2.1,1,5,2012,WAS
137,3195,DT-0800,0,0,0,0,0,0,0,0,0,2,1,5,0,0,10,-0.5,1,7,2012,NO
138,3195,ER-0600,0,0,0,0,0,2,1,10,0,0,0,0,0,0,0,1,1,2,2012,WAS
139,3195,DH-2400,0,0,0,0,0,0,0,0,0,2,1,11,0,0,0,1.1,1,9,2012,NO
140,3195,JM-6200,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,2012,NO
141,3195,LP-0200,0,0,0,0,0,0,0,0,0,1,1,22,0,0,0,2.2,1,3,2012,WAS
142,3196,RB-4900,0,0,0,0,0,14,9,69,0,6,6,46,0,0,0,11.5,1,7,2012,MIA
143,3196,RT-0150,36,20,219,3,0,1,0,-1,0,0,0,0,0,0,0,2.7,1,1,2012,MIA
144,3196,DB-1800,0,0,0,0,0,0,0,0,0,7,5,45,0,0,0,4.5,1,5,2012,MIA
145,3196,DT-0600,0,0,0,0,0,4,1,11,0,3,1,32,0,1,0,2.3,1,2,2012,MIA
146,3196,MS-0200,31,20,266,0,1,4,0,-1,0,0,0,0,0,0,0,14.5,1,9,2012,HOU
147,3196,AF-0900,0,0,0,0,0,26,12,79,2,3,1,-4,0,0,0,19.5,1,4,2012,HOU
148,3196,AJ-0900,0,0,0,0,0,0,0,0,0,10,8,119,1,0,0,17.9,1,10,2012,HOU
149,3196,OD-0100,0,0,0,0,0,0,0,0,0,8,4,87,0,0,5,8.2,1,7,2012,HOU
150,3196,KM-0450,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2012,HOU
151,3196,LJ-0400,0,0,0,0,0,0,0,0,0,2,1,9,0,0,0,0.9,1,2,2012,HOU
152,3196,BT-0200,0,0,0,0,0,5,1,6,0,3,3,22,0,0,0,2.8,1,2,2012,HOU
153,3196,AF-0200,0,0,0,0,0,0,0,0,0,5,3,19,0,0,5,1.4,1,7,2012,MIA
154,3196,AA-1600,0,0,0,0,0,0,0,0,0,3,1,3,0,0,0,0.3,1,3,2012,MIA
155,3196,JL-0260,0,0,0,0,0,0,0,0,0,1,1,24,0,0,0,2.4,1,1,2012,MIA
156,3196,BH-0800,0,0,0,0,0,0,0,0,0,8,3,50,0,0,0,5,1,4,2012,MIA
157,3196,LN-0100,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,6,2012,MIA
158,3196,JC-1600,0,0,0,0,0,0,0,0,0,2,1,17,0,0,0,1.7,1,4,2012,HOU
159,3196,CC-2100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,2012,MIA
160,3196,KW-0300,0,0,0,0,0,0,0,0,0,2,2,16,0,0,0,1.6,1,10,2012,HOU
161,3197,JL-2300,32,23,229,1,1,2,1,11,0,0,0,0,0,1,0,10.3,1,2,2012,TEN
162,3197,CJ-1700,0,0,0,0,0,11,2,4,0,7,6,47,0,0,0,5.1,1,5,2012,TEN
163,3197,KW-2550,0,0,0,0,0,0,0,0,0,6,5,37,0,0,0,3.7,1,1,2012,TEN
164,3197,DR-1200,0,0,0,0,0,2,0,2,0,4,3,17,0,0,0,1.9,1,5,2012,TEN
165,3197,NW-0100,0,0,0,0,0,0,0,0,0,8,2,53,1,0,0,11.3,1,8,2012,TEN
166,3197,DW-3100,0,0,0,0,0,0,0,0,0,6,5,33,0,0,0,3.3,1,3,2012,TEN
167,3197,TB-2300,31,23,236,0,2,2,1,1,0,0,0,0,0,0,0,17.5,1,13,2012,NE
168,3197,AH-2800,0,0,0,0,0,1,1,5,0,7,6,59,1,0,0,12.4,1,3,2012,NE
169,3197,SR-0700,0,0,0,0,0,21,11,125,1,3,2,27,0,0,0,21.2,1,2,2012,NE
170,3197,BL-1200,0,0,0,0,0,0,0,0,0,8,5,69,0,0,0,6.9,1,10,2012,NE
171,3197,WW-0200,0,0,0,0,0,0,0,0,0,5,3,14,0,0,0,1.4,1,9,2012,NE
172,3197,JH-1400,0,0,0,0,0,1,0,3,0,1,1,8,0,0,0,1.1,1,2,2012,TEN
173,3197,RG-2200,0,0,0,0,0,0,0,0,0,6,6,60,1,0,0,12,1,3,2012,NE
174,3197,JC-4300,0,0,0,0,0,0,0,0,0,6,4,64,0,0,0,6.4,1,4,2012,TEN
175,3197,LH-1100,0,0,0,0,0,0,0,0,0,4,2,8,0,0,0,0.8,1,5,2012,TEN
176,3197,DW-4300,0,0,0,0,0,6,4,20,0,0,0,0,0,0,0,2,1,4,2012,NE
177,3197,JE-0100,0,0,0,0,0,0,0,0,0,2,1,7,0,0,0,0.7,1,4,2012,NE
178,3197,MH-1600,11,6,43,0,0,0,0,0,0,0,0,0,0,0,0,1.7,1,15,2012,TEN
179,3197,CS-3900,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,0.5,1,5,2012,TEN
180,3197,BB-2250,0,0,0,0,0,5,2,11,0,0,0,0,0,0,0,1.1,1,1,2012,NE
181,3198,CP-2000,27,20,270,0,0,1,0,1,0,0,0,0,0,1,0,8.9,1,2,2012,MIN
182,3198,KR-1200,0,0,0,0,0,0,0,0,0,7,5,67,0,0,0,6.7,1,2,2012,MIN
183,3198,AP-0700,0,0,0,0,0,17,11,84,2,1,1,3,0,0,0,20.7,1,6,2012,MIN
184,3198,PH-0400,0,0,0,0,0,5,3,20,0,8,6,84,0,0,0,10.4,1,4,2012,MIN
185,3198,RJ-0800,0,0,0,0,0,8,5,31,0,1,1,9,0,0,0,4,1,4,2012,JAC
186,3198,MJ-2500,0,0,0,0,0,19,8,77,0,5,3,18,0,0,0,9.5,1,7,2012,JAC
187,3198,BG-0100,40,24,260,0,2,5,2,6,0,0,0,0,0,1,0,17,1,2,2012,JAC
188,3198,GJ-1100,0,0,0,0,0,0,0,0,0,2,1,9,0,0,0,0.9,1,9,2012,JAC
189,3198,CS-1500,0,0,0,0,0,0,0,0,0,7,4,74,1,0,0,13.4,1,2,2012,JAC
190,3198,JB-3650,0,0,0,0,0,0,0,0,0,7,4,24,0,0,5,1.9,1,1,2012,JAC
191,3198,MT-0900,0,0,0,0,0,1,0,-1,0,1,0,0,0,0,0,-0.1,1,4,2012,JAC
192,3198,ML-1500,0,0,0,0,0,0,0,0,0,5,5,52,1,0,0,11.2,1,7,2012,JAC
193,3198,LR-0400,0,0,0,0,0,0,0,0,0,9,5,66,0,0,0,6.6,1,6,2012,JAC
194,3198,TG-0600,0,0,0,0,0,6,2,18,0,1,1,8,0,0,0,2.6,1,3,2012,MIN
195,3198,MO-0500,0,0,0,0,0,0,0,0,0,3,1,8,0,0,0,0.8,1,7,2012,JAC
196,3198,MJ-0800,0,0,0,0,0,0,0,0,0,5,3,45,0,0,0,4.5,1,9,2012,MIN
197,3198,JP-0800,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,2012,JAC
198,3198,MA-1150,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0.2,1,1,2012,MIN
199,3198,JC-0700,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,2012,MIN
200,3198,DA-1700,0,0,0,0,0,0,0,0,0,3,3,61,0,0,0,6.1,1,6,2012,MIN
201,3199,DW-3600,0,0,0,0,0,6,1,-1,0,1,1,5,0,0,0,0.4,1,7,2012,CAR
202,3199,CN-0500,33,23,303,2,1,5,1,4,0,0,0,0,0,0,0,12.5,1,2,2012,CAR
203,3199,GO-0100,0,0,0,0,0,0,0,0,0,7,6,56,0,0,0,5.6,1,6,2012,CAR
204,3199,SS-2100,0,0,0,0,0,0,0,0,0,11,7,106,0,0,0,10.6,1,12,2012,CAR
205,3199,JF-3100,24,16,138,0,1,7,3,17,0,0,0,0,0,0,0,11.2,1,4,2012,TB
206,3199,MW-2800,0,0,0,0,0,0,0,0,0,3,2,12,1,0,0,7.2,1,3,2012,TB
207,3199,DM-0450,0,0,0,0,0,24,15,95,0,4,4,23,0,0,0,11.8,1,1,2012,TB
208,3199,EL-0600,0,0,0,0,0,0,0,0,0,4,4,21,0,0,0,2.1,1,3,2012,TB
209,3199,VJ-0100,0,0,0,0,0,0,0,0,0,10,4,47,0,0,0,4.7,1,8,2012,TB
210,3199,MT-1300,0,0,0,0,0,1,0,2,0,3,3,8,0,0,0,1,1,5,2012,CAR
211,3199,KP-0700,0,0,0,0,0,1,1,5,0,1,0,0,0,0,0,0.5,1,2,2012,CAR
212,3199,DC-1600,0,0,0,0,0,0,0,0,0,1,1,33,0,0,0,3.3,1,10,2012,TB
213,3199,LM-1800,0,0,0,0,0,0,0,0,0,5,3,63,0,0,0,6.3,1,4,2012,CAR
214,3199,LB-0500,0,0,0,0,0,3,0,8,0,1,1,2,0,0,0,1,1,3,2012,TB
215,3199,BL-0100,0,0,0,0,0,0,0,0,0,5,3,65,1,0,0,12.5,1,3,2012,CAR
216,3199,DW-1000,0,0,0,0,0,2,1,14,0,0,0,0,0,0,0,1.4,1,6,2012,TB
217,3199,LS-1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-0.5,1,2,2012,TB
218,3199,PP-0100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,2012,TB
219,3200,ML-2500,0,0,0,0,0,21,7,85,0,2,2,12,0,0,10,8.7,1,6,2012,SEA
220,3200,RW-3850,34,18,153,1,1,8,3,12,0,0,0,0,0,1,22,5.1,1,1,2012,SEA
221,3200,SR-0500,0,0,0,0,0,0,0,0,0,9,4,36,1,0,0,9.6,1,6,2012,SEA
222,3200,RT-1950,0,0,0,0,0,2,0,5,0,1,1,2,0,0,0,0.7,1,1,2012,SEA
223,3200,RW-3400,0,0,0,0,0,8,1,9,0,3,2,17,0,1,0,0.6,1,2,2012,ARI
224,3200,JS-3700,28,14,149,1,0,1,0,2,0,0,0,0,0,0,5,3.7,1,3,2012,ARI
225,3200,LF-0200,0,0,0,0,0,0,0,0,0,11,4,63,0,0,0,6.3,1,9,2012,ARI
226,3200,AR-1100,0,0,0,0,0,1,1,15,0,9,5,54,1,0,0,12.9,1,3,2012,ARI
227,3200,BE-0200,0,0,0,0,0,0,0,0,0,9,5,43,0,0,0,4.3,1,8,2012,SEA
228,3200,BO-0100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6,2012,SEA
229,3200,LW-0500,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0.5,1,7,2012,SEA
230,3200,CW-1400,0,0,0,0,0,7,2,14,0,0,0,0,0,0,0,1.4,1,4,2012,ARI
231,3200,ED-0700,0,0,0,0,0,0,0,0,0,3,3,37,0,0,0,3.7,1,5,2012,ARI
232,3200,JK-1200,0,0,0,0,0,0,0,0,0,3,2,8,0,0,0,0.8,1,7,2012,ARI
233,3200,TH-1100,0,0,0,0,0,0,0,0,0,4,3,32,0,0,0,3.2,1,12,2012,ARI
234,3200,LS-1700,0,0,0,0,0,2,1,4,1,1,1,4,0,0,0,6.8,1,4,2012,ARI
235,3200,DB-0500,0,0,0,0,0,0,0,0,0,6,2,5,0,0,0,0.5,1,2,2012,SEA
236,3200,AM-1400,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,2012,SEA
237,3200,MF-0950,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,-0.5,1,1,2012,ARI
238,3200,ZM-0200,0,0,0,0,0,0,0,0,0,3,3,40,0,0,0,4,1,6,2012,SEA
239,3200,AS-0900,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,2012,ARI
240,3200,KK-1200,8,6,66,0,1,1,0,-1,0,0,0,0,0,0,0,6.5,1,6,2012,ARI
241,3200,CM-0500,0,0,0,0,0,0,0,0,0,2,1,15,0,0,0,1.5,1,4,2012,SEA
242,3201,FG-0200,0,0,0,0,0,16,9,112,1,1,1,1,0,0,0,17.3,1,8,2012,SF
243,3201,KH-2900,0,0,0,0,0,9,6,41,0,0,0,0,0,0,0,4.1,1,2,2012,SF
244,3201,AS-1600,26,20,211,0,2,5,2,13,0,0,0,0,0,0,0,17.7,1,8,2012,SF
245,3201,AR-1300,45,31,303,1,2,5,4,27,0,0,0,0,0,0,5,20.3,1,8,2012,GB
246,3201,GJ-0400,0,0,0,0,0,0,0,0,0,9,5,34,0,0,0,3.4,1,7,2012,GB
247,3201,CB-1400,0,0,0,0,0,9,1,18,0,0,0,0,0,0,0,1.8,1,8,2012,GB
248,3201,JF-1600,0,0,0,0,0,0,0,0,0,11,7,47,1,0,0,10.7,1,5,2012,GB
